trial,response_time,accuracy,decision_time,choice,final_evidence
168,1.9149999999999274,1,1.6649999999999274,1,1.0073333098504442
169,1.0280000000000005,1,0.7780000000000006,1,1.0466314467144433
170,1.3949999999999847,1,1.1449999999999847,-1,-1.009173505836962
171,0.8590000000000004,0,0.6090000000000004,-1,-1.0070446609075387
172,0.5710000000000002,1,0.32100000000000023,1,1.0166627668048198
173,1.0490000000000006,1,0.7990000000000006,1,1.0206734120383882
174,0.9090000000000005,1,0.6590000000000005,-1,-1.0062955563675249
175,1.446999999999979,1,1.196999999999979,-1,-1.0057955625125161
176,2.273999999999888,1,2.023999999999888,1,1.009099947035449
177,2.142999999999902,1,1.8929999999999023,-1,-1.0204523640706098
178,1.9689999999999215,0,1.7189999999999215,-1,-1.0135904568537857
179,0.42400000000000015,1,0.17400000000000013,1,1.0454135840979277
180,0.43100000000000016,1,0.18100000000000013,1,1.0125994881031057
181,0.7500000000000003,1,0.5000000000000003,1,1.0260358396370268
182,0.4560000000000002,1,0.20600000000000016,-1,-1.0249565566945966
183,1.1680000000000006,1,0.9180000000000007,1,1.0054618579281926
184,1.8989999999999292,1,1.6489999999999292,1,1.0003536534545667
185,1.2859999999999967,1,1.0359999999999967,1,1.0327495793225296
186,1.9869999999999195,1,1.7369999999999195,-1,-1.0013479834168084
187,0.4880000000000002,1,0.23800000000000018,1,1.0322861227772226
188,0.7860000000000004,1,0.5360000000000004,-1,-1.0373634477569957
189,0.7170000000000003,1,0.46700000000000036,1,1.007141243321515
190,0.8710000000000004,1,0.6210000000000004,-1,-1.0285029538340094
191,0.7550000000000003,1,0.5050000000000003,1,1.014688399505664
192,1.2350000000000008,1,0.9850000000000008,1,1.0249579453815303
193,0.8080000000000004,1,0.5580000000000004,-1,-1.0003991922223472
194,0.9110000000000005,0,0.6610000000000005,1,1.0083758791810875
195,0.7460000000000004,0,0.4960000000000004,-1,-1.0525897286468306
196,1.3149999999999935,1,1.0649999999999935,1,1.0122404409409145
197,1.0710000000000006,1,0.8210000000000006,-1,-1.006760517739572
198,0.5500000000000003,1,0.3000000000000002,1,1.0260840637044244
199,3.25,0,3.0,0,-0.23320813978497915
200,0.7110000000000003,1,0.46100000000000035,1,1.0449612531917334
201,0.7930000000000004,1,0.5430000000000004,1,1.0125829089001133
202,1.545999999999968,1,1.295999999999968,1,1.0040165678503552
203,0.3410000000000001,0,0.09100000000000007,1,1.0075241455599915
204,1.5299999999999698,0,1.2799999999999698,-1,-1.0224550328439015
205,2.6799999999998434,0,2.4299999999998434,-1,-1.0087618219612726
206,1.6219999999999597,1,1.3719999999999597,1,1.0075779082239704
207,0.5240000000000002,1,0.2740000000000002,-1,-1.0112100796055778
208,1.9389999999999248,0,1.6889999999999248,-1,-1.0324499327776582
209,0.9530000000000005,1,0.7030000000000005,1,1.0099148902556574
210,1.2270000000000008,1,0.9770000000000008,-1,-1.0195220292425557
211,1.3159999999999934,1,1.0659999999999934,1,1.0178556915396442
212,0.9070000000000005,0,0.6570000000000005,-1,-1.002048064663278
213,0.4870000000000002,0,0.23700000000000018,1,1.0509572210165725
214,1.1580000000000008,1,0.9080000000000007,1,1.0204565064941764
215,0.6100000000000003,1,0.36000000000000026,1,1.0100159683384922
216,1.5409999999999686,1,1.2909999999999686,1,1.0025161594561096
217,1.0910000000000006,1,0.8410000000000006,-1,-1.006649812154051
218,1.2470000000000008,1,0.9970000000000008,1,1.0042600931728038
219,1.5619999999999663,0,1.3119999999999663,-1,-1.02750150876902
